CODE;LEGENDA
1.00.70.05.00.20.3;Climatologia geográfica
1.00.70.05.00.30.1;Pedologia
1.00.70.05.00.40.0;Hidrogeografia
1.00.70.05.00.50.8;Geoecologia
1.00.70.05.00.60.6;Fotogeografia (físico-ecológica)
1.00.70.05.00.70.4;Geocartografia
1.00.80.00.00.00.0;Oceanografia
1.00.80.01.00.00.6;Oceanografia biológica
1.00.80.01.00.10.4;Interação entre os organismos marinhos e os parâmetros ambientais
1.00.80.02.00.00.2;Oceanografia física
1.00.80.02.00.10.0;Variáveis físicas da água do mar
1.00.80.02.00.20.9;Movimento da água do mar
1.00.80.02.00.30.7;Origem das massas de água
1.00.80.02.00.40.5;Interação do oceano com o leito do mar
1.00.80.02.00.50.3;Interação do oceano com a atmosfera
1.00.80.03.00.00.9;Oceanografia química
1.00.80.03.00.10.7;Propriedades químicas da água do mar
1.00.80.03.00.20.5;Interaçõess químico-biológicas/geológicas das substâncias químicas da água do mar
1.00.80.04.00.00.5;Oceanografia geológica
1.00.80.04.00.10.3;Geomorfologia submarina
1.00.80.04.00.20.1;Sedimentologia marinha
1.00.80.04.00.30.0;Geofísica marinha
2.00.00.00.00.00.6;Ciências biológicas
2.00.10.00.00.00.0;Biologia Geral
2.00.20.00.00.00.5;Genética
2.00.20.01.00.00.1;Genética quantitativa
2.00.20.02.00.00.8;Genética molecular e de microorganismos
2.00.20.03.00.00.4;Genética vegetal
2.00.20.04.00.00.0;Genética animal
2.00.20.05.00.00.7;Genética humana e médica
2.00.20.06.00.00.3;Mutagênese
2.00.30.00.00.00.0;Botânica
2.00.30.01.00.00.6;Paleobotânica
2.00.30.02.00.00.2;Morfologia vegetal
2.00.30.02.00.10.0;Morfologia externa
2.00.30.02.00.20.9;Citologia vegetal
2.00.30.02.00.30.7;Anatomia vegetal
2.00.30.02.00.40.5;Palinologia
2.00.30.03.00.00.9;Fisiologia vegetal
2.00.30.03.00.10.7;Nutrição e crescimento vegetal
2.00.30.03.00.20.5;Reprodução vegetal
2.00.30.03.00.30.3;Ecofisiologia vegetal
2.00.30.04.00.00.5;Taxonomia vegetal
2.00.30.04.00.10.3;Taxonomia de criptógamos
2.00.30.04.00.20.1;Taxonomia de fanerógamos
2.00.30.05.00.00.1;Fitogeografia
2.00.30.06.00.00.8;Botânica aplicada
2.00.40.00.00.00.4;Zoologia
2.00.40.01.00.00.0;Paleozoologia
2.00.40.02.00.00.7;Morfologia dos grupos recentes
2.00.40.03.00.00.3;Fisiologia dos grupos recentes
2.00.40.04.00.00.0;Comportamento animal
2.00.40.05.00.00.6;Taxonomia dos grupos recentes
2.00.40.06.00.00.2;Zoologia aplicada
2.00.40.06.00.10.0;Conservação das espécies animais
2.00.40.06.00.20.9;Utilização dos animais
2.00.40.06.00.30.7;Controle populacional de animais
2.00.50.00.00.00.9;Ecologia
2.00.50.01.00.00.5;Ecologia teórica
2.00.50.02.00.00.1;Ecologia de ecossistemas
2.00.50.03.00.00.8;Ecologia aplicada
2.00.60.00.00.00.3;Morfologia
2.00.60.01.00.00.0;Citologia e biologia celular
2.00.60.02.00.00.6;Embriologia
2.00.60.03.00.00.2;Histologia
2.00.60.04.00.00.9;Anatomia
2.00.60.04.00.10.7;Anatomia humana
2.00.70.00.00.00.8;Fisiologia
2.00.70.01.00.00.4;Fisiologia geral
2.00.70.02.00.00.0;Fisiologia de órgaos e sistemas
2.00.70.02.00.10.9;Neurofisiologia
2.00.70.02.00.20.7;Fisiologia cardiovascular
2.00.70.02.00.30.5;Fisiologia da respiração
2.00.70.02.00.40.3;Fisiologia renal
2.00.70.02.00.50.1;Fisiologia endocrina
2.00.70.02.00.60.0;Fisiologia da digestão
2.00.70.02.00.70.8;Cinesiologia
2.00.70.03.00.00.7;Fisiologia do esforço
2.00.70.04.00.00.3;Fisiologia comparada
2.00.80.00.00.00.2;Bioquímica
2.00.80.01.00.00.9;Química de macromoléculas
2.00.80.01.00.10.7;Proteínas
2.00.80.01.00.20.5;Lipídeos
2.00.80.01.00.30.3;Glicídeos
2.00.80.02.00.00.5;Bioquímica dos microorganismos
2.00.80.03.00.00.1;Metabolismo e bioenergética
2.00.80.04.00.00.8;Biologia molecular
2.00.80.05.00.00.4;Enzimologia
2.00.90.00.00.00.7;Biofísica
2.00.90.01.00.00.3;Biofísica molecular
2.00.90.02.00.00.0;Biofísica celular
2.00.90.03.00.00.6;Biofísica de processos e sistemas
2.00.90.04.00.00.2;Radiologia e fotobiologia
2.01.00.00.00.00.0;Farmacologia
2.01.00.01.00.00.6;Farmacologia geral
2.01.00.01.00.10.4;Farmacocinética
2.01.00.01.00.20.2;Biodisponibilidade
2.01.00.02.00.00.2;Farmacologia autonômica
2.01.00.03.00.00.9;Neuropsicofarmacologia
2.01.00.04.00.00.5;Farmacologia cardiorenal
2.01.00.05.00.00.1;Farmacologia bioquímica e molecular
2.01.00.06.00.00.8;Etnofarmacologia
2.01.00.07.00.00.4;Toxicologia
2.01.00.08.00.00.0;Farmacologia clínica
2.01.10.00.00.00.4;Imunologia
2.01.10.01.00.00.0;Imunoquímica
2.01.10.02.00.00.7;Imunologia celular
2.01.10.03.00.00.3;Imunogenética
2.01.10.04.00.00.0;Imunologia aplicada
2.01.20.00.00.00.9;Microbiologia
2.01.20.01.00.00.5;Biologia e fisiologia dos microorganismos
2.01.20.01.00.10.3;Virologia
2.01.20.01.00.20.1;Bacterologia
2.01.20.01.00.30.0;Micologia
2.01.20.02.00.00.1;Microbiologia aplicada
2.01.20.02.00.10.0;Microbiologia médica
2.01.20.02.00.20.8;Microbiologia industrial e de fermentação
2.01.30.00.00.00.3;Parasitologia
2.01.30.01.00.00.0;Protozoologia de parasitos
2.01.30.01.00.10.8;Protozoologia parasitária humana
2.01.30.01.00.20.6;Protozoologia parasitária animal
2.01.30.02.00.00.6;Helmintologia de parasitos
2.01.30.02.00.10.4;Helmintologia humana
2.01.30.02.00.20.2;Helmintologia animal
2.01.30.03.00.00.2;Entomologia e malacologia de parasitos e vetores
3.00.00.00.00.00.9;Engenharias
3.00.10.00.00.00.3;Engenharia civil
3.00.10.01.00.00.0;Construção civil
3.00.10.01.00.10.8;Materiais e componentes de construção
3.00.10.01.00.20.6;Processos construtivos
3.00.10.01.00.30.4;Instalações prediais
3.00.10.02.00.00.6;Estruturas
3.00.10.02.00.10.4;Estruturas de concreto
3.00.10.02.00.20.2;Estruturas de madeiras
3.00.10.02.00.30.0;Estruturas metálicas
3.00.10.02.00.40.9;Mecânica das estruturas
3.00.10.03.00.00.2;Geotécnica
3.00.10.03.00.10.0;Fundações e escavações
3.00.10.03.00.20.9;Mecânicas das rochas
3.00.10.03.00.30.7;Mecânicas dos solos
3.00.10.03.00.40.5;Obras de terra e enrocamento
3.00.10.03.00.50.3;Pavimentos
3.00.10.04.00.00.9;Engenharia hidráulica
3.00.10.04.00.10.7;Hidráulica
3.00.10.04.00.20.5;Hidrologia
3.00.10.05.00.00.5;Infra-estrutura de transportes
3.00.10.05.00.10.3;Aeroportos projeto e construção
3.00.10.05.00.20.1;Ferrovias projetos e construção
3.00.10.05.00.30.0;Portos e vias nevegáveis projeto e construção
3.00.10.05.00.40.8;Rodovias projeto e construção
3.00.20.00.00.00.8;Engenharia de minas
3.00.20.01.00.00.4;Pesquisa mineral
3.00.20.01.00.10.2;Caracterização do minério
3.00.20.01.00.20.0;Dimensionamento de jazidas
3.00.20.02.00.00.0;Lavra
3.00.20.02.00.10.9;Lavra a céu aberto
3.00.20.02.00.20.7;Lavra de mina subterrânea
3.00.20.02.00.30.5;Equipamentos de lavra
3.00.20.03.00.00.7;Tratamento de minérios
3.00.20.03.00.10.5;Métodos de concentração e enriquecimento de minérios
3.00.20.03.00.20.3;Equipamentos de beneficiamento de minérios
3.00.30.00.00.00.2;Engenharia de materiais e metalúrgica
3.00.30.01.00.00.9;Instalações e equipamentos metalúrgicos
3.00.30.01.00.10.7;Instalações metalúrgicas
3.00.30.01.00.20.5;Equipamentos metalúrgicos
3.00.30.02.00.00.5;Metalurgia extrativa
3.00.30.02.00.10.3;Aglomeração
3.00.30.02.00.20.1;Eletrometalurgia
3.00.30.02.00.30.0;Hidrometalurgia
3.00.30.02.00.40.8;Pirometalurgia
3.00.30.02.00.50.6;Tratamento de minérios
3.00.30.03.00.00.1;Metalurgia de transformação
3.00.30.03.00.10.0;Conformação mecânica
3.00.30.03.00.20.8;Fundição
3.00.30.03.00.30.6;Metalurgia de pó
3.00.30.03.00.40.4;Recobrimentos
3.00.30.03.00.50.2;Soldagem
3.00.30.03.00.60.0;Tratamento térmicos, mecânicos e químicos
3.00.30.03.00.70.9;Usinagem
3.00.30.04.00.00.8;Metalurgia física
3.00.30.04.00.10.6;Estrutura dos metais e ligas
3.00.30.04.00.20.4;Propriedades físicas dos metais e ligas
3.00.30.04.00.30.2;Propriedades mecânicas dos metais e ligas
3.00.30.04.00.40.0;Transformação de fases
3.00.30.04.00.50.9;Corrosão
3.00.30.05.00.00.4;Materiais nao metálicos
3.00.30.05.00.10.2;Extração e transformação de materiais
3.00.30.05.00.20.0;Cerâmicos
3.00.30.05.00.30.9;Materiais conjugados não metálicos
3.00.30.05.00.40.7;Polímeros, aplicações
3.00.40.00.00.00.7;Engenharia elétrica
3.00.40.01.00.00.3;Materiais elétricos
3.00.40.01.00.10.1;Materiais condutores
3.00.40.01.00.20.0;Materiais e componentes semicondutores
3.00.40.01.00.30.8;Materiais e dispositivos supercondutores
